880.91 -88.1268108000 -5.6633118283 6.4675950783E-05
890.91 -78.1268108000 -5.4266396140 9.0490846727E-05
900.91 -68.1268108000 -5.1791634591 1.4333916789E-04
910.91 -58.1268108000 -4.9192530705 2.8384568311E-04
912.41 -56.6263108000 -4.8790589911 3.2429179700E-04
913.91 -55.1263108000 -4.8385445770 3.7455991229E-04
915.41 -53.6263108000 -4.7976882257 4.3798145251E-04
916.91 -52.1263108000 -4.7564807679 5.1930923809E-04
918.41 -50.6263108000 -4.7149133590 6.2543440110E-04
919.91 -49.1263108000 -4.6729762111 7.6648495278E-04
920.91 -48.1263108000 -4.6448076379 8.8699530707E-04
921.41 -47.6263108000 -4.6306590950 9.5736139398E-04
922.778 -46.2588308000 -4.5917410388 1.1929764080E-03
924.645 -44.3913508000 -4.5380535625 1.6513573186E-03
926.513 -42.5238708000 -4.4837230961 2.3214369608E-03
928.38 -40.6563908000 -4.4287267444 3.1828704417E-03
930.248 -38.7889108000 -4.3730384112 3.9242323204E-03
932.115 -36.9214308000 -4.3166319066 3.9965057766E-03
933.983 -35.0539508000 -4.2594782998 3.3732728411E-03
935.85 -33.1864708000 -4.2015475075 2.5772351126E-03
937.718 -31.3189908000 -4.1428067212 1.9355094683E-03
939.585 -29.4515108000 -4.0832211921 1.4989982862E-03
940.91 -28.1263108000 -4.0404048391 1.2747215007E-03
941.453 -27.5840308000 -4.0227529598 1.1991045394E-03
942.41 -26.6263108000 -3.9913869709 1.0843055676E-03
943.91 -25.1263108000 -3.9417593706 9.4392320736E-04
945.41 -23.6263108000 -3.8914991486 8.4035454150E-04
946.91 -22.1263108000 -3.8405810248 7.6457518282E-04
948.41 -20.6263108000 -3.7889787004 7.0998990885E-04
949.91 -19.1263108000 -3.7366638298 6.7222757208E-04
950.91 -18.1263108000 -3.7013767172 6.5484115368E-04
951.41 -17.6263108000 -3.6836062852 6.4821856166E-04
970.91 1.8736892300 -2.9070300523 9.5583286050E-04
990.91 21.8736892000 -1.7892615785 2.0850241182E-03
1003.11 34.0711892000 0.0000000000 2.9536779345E-03
1030.91 61.8736892000 2.7013468415 4.2022019717E-03
1050.91 81.8736892000 3.5421238667 4.4321291443E-03
1070.91 101.8736890000 4.2185314227 4.4345968232E-03
1090.91 121.8736890000 4.8005594140 4.6669738670E-03
1110.91 141.8736890000 5.3192801037 4.8173238746E-03
1130.91 161.8736890000 5.7917273630 4.3493715719E-03
