888.147 -81.3385133000 -3.9613007772 2.7838592196E-04
898.147 -71.3385133000 -3.6148610600 4.2211245717E-04
908.147 -61.3385133000 -3.2314914697 7.2243590981E-04
918.147 -51.3385133000 -2.7960425165 1.5354780550E-03
919.647 -49.8385133000 -2.7247296362 1.7724671616E-03
921.147 -48.3385133000 -2.6514995478 2.0690688371E-03
922.647 -46.8385133000 -2.5761883492 2.4465638818E-03
924.147 -45.3385133000 -2.4986084620 2.9361783006E-03
925.647 -43.8385133000 -2.4185412249 3.5849419167E-03
927.147 -42.3385133000 -2.3357311314 4.4655083798E-03
928.147 -41.3385133000 -2.2788531473 5.2355015894E-03
928.647 -40.8385133000 -2.2498749584 5.6922659463E-03
929.657 -39.8282333000 -2.1901530858 6.8013349362E-03
931.167 -38.3179533000 -2.0977060539 9.0850414825E-03
932.677 -36.8076733000 -2.0009921442 1.2463511706E-02
934.188 -35.2973933000 -1.8993602304 1.7362285461E-02
935.698 -33.7871133000 -1.7919733173 2.3689539913E-02
937.208 -32.2768333000 -1.6777269348 2.9344015868E-02
938.719 -30.7665533000 -1.5551100214 3.0188926592E-02
940.229 -29.2562733000 -1.4219586762 2.5471470837E-02
941.739 -27.7459933000 -1.2749767742 1.9104043334E-02
943.249 -26.2357133000 -1.1086772684 1.3868931821E-02
944.76 -24.7254333000 -0.9125593589 1.0197739239E-02
946.27 -23.2151533000 -0.6605785655 7.7237367046E-03
947.932 -21.5526133000 0.0000000000 5.9154355724E-03
948.147 -21.3385133000 0.2370537135 5.7413452868E-03
949.647 -19.8385133000 0.6707435475 4.7388991038E-03
951.147 -18.3385133000 0.9184766102 4.0292732512E-03
952.647 -16.8385133000 1.1123406703 3.5241097400E-03
954.147 -15.3385133000 1.2771077260 3.1658561422E-03
955.647 -13.8385133000 1.4229219000 2.9170173314E-03
957.147 -12.3385133000 1.5551235717 2.7527940819E-03
958.147 -11.3385133000 1.6373384345 2.6810346412E-03
958.647 -10.8385133000 1.6769351471 2.6546934683E-03
978.147 8.6614867400 2.8160688695 3.5512907429E-03
998.147 28.6614867000 3.6303731081 5.3954407365E-03
1018.15 48.6614867000 4.2928979813 5.6425865929E-03
1038.15 68.6614867000 4.8660396124 5.7189878947E-03
1058.15 88.6614867000 5.3784483390 5.2357120643E-03
