885.345 -85.6972357000 -4.2772577899 3.4895634494E-04
895.345 -75.6972357000 -3.9585665504 5.2191374751E-04
905.345 -65.6972357000 -3.6118647014 8.7535288544E-04
915.345 -55.6972357000 -3.2281394190 1.7844280938E-03
916.845 -54.1972357000 -3.1665724519 2.0373215469E-03
918.345 -52.6972357000 -3.1037847509 2.3466305890E-03
919.845 -51.1972357000 -3.0396999709 2.7292867623E-03
921.345 -49.6972357000 -2.9742349855 3.2082687819E-03
922.845 -48.1972357000 -2.9072962672 3.8151291163E-03
924.345 -46.6972357000 -2.8387795654 4.5919937648E-03
925.345 -45.6972357000 -2.7921679024 5.2314092809E-03
925.845 -45.1972357000 -2.7685675729 5.5946542982E-03
927.643 -43.3994857000 -2.6819982001 7.1894596789E-03
929.941 -41.1017357000 -2.5671048909 1.0008173965E-02
932.238 -38.8039857000 -2.4468226585 1.3544234731E-02
934.536 -36.5062357000 -2.3203134968 1.6420083548E-02
936.834 -34.2084857000 -2.1864966209 1.6392461051E-02
939.132 -31.9107357000 -2.0439376395 1.3552686578E-02
941.429 -29.6129857000 -1.8906599645 1.0149174217E-02
943.727 -27.3152357000 -1.7238063956 7.4791022760E-03
945.345 -25.6972357000 -1.5958805929 6.1572768453E-03
946.025 -25.0174857000 -1.5389678654 5.7007505581E-03
946.845 -24.1972357000 -1.4673555387 5.2175146549E-03
948.345 -22.6972357000 -1.3264350743 4.4946112729E-03
949.845 -21.1972357000 -1.1686434542 3.9396614802E-03
951.345 -19.6972357000 -0.9859133562 3.5150014089E-03
952.845 -18.1972357000 -0.7604752873 3.1919824236E-03
954.345 -16.6972357000 -0.4296745348 2.9492488410E-03
955.048 -15.9938357000 0.0000000000 2.8584354949E-03
955.845 -15.1972357000 0.4572551121 2.7710201312E-03
975.345 4.3027643500 2.3080758110 2.9370756914E-03
995.345 24.3027643000 3.2521653404 4.5309793845E-03
1015.35 44.3027643000 3.9781837727 5.3649015100E-03
1035.35 64.3027643000 4.5907852763 5.4466321582E-03
1055.35 84.3027643000 5.1307581883 5.1253691546E-03
1075.35 104.3027640000 5.6190784752 4.8288319404E-03
