0.01069	5.11541
0.01142761	5.16418
0.01221612	5.21676
0.01305903	5.27396
0.0139601	5.33667
0.01492335	5.40595
0.01595306	5.48301
0.01705382	5.56923
0.01823053	5.66623
0.01948844	5.77588
0.02083314	5.9004
0.02227063	6.0425
0.0238073	6.20556
0.02545001	6.39395
0.02720606	6.61376
0.02908327	6.874
0.03109002	7.18087
0.03323523	7.48774
0.03552846	7.79039
0.03797993	8.0925
0.04060054	8.39535
0.04340198	8.69863
0.04639671	9.00071
0.04959809	9.29848
0.05302035	9.58673
0.05667876	9.85667
0.06058959	10.0916
0.06477028	10.2528
0.06923942	10.202
0.072128	9.67426
0.073232	8.64551
0.0735264	7.25829
0.07401695	9.01656
0.075072	10.3701
0.07912411	11.8948
0.08458368	12.5602
0.09041995	12.902
0.09665893	13.1577
0.1033284	13.3709
0.1104581	13.538
0.117404	13.57
0.1180797	13.5466
0.119201	13.444
0.1196802	13.2559
0.120399	13.4706
0.122196	13.6854
0.1262272	13.9079
0.1349368	14.2299
0.1442475	14.515
0.1542005	14.7908
0.1648404	15.0662
0.1762144	15.3462
0.1883732	15.6336
0.2013709	15.93
0.2152655	16.2355
0.2301188	16.5503
0.245997	16.8682
0.2629708	17.1872
0.2811158	17.5025
0.3005128	17.8097
0.3212482	18.1027
0.3434143	18.3733
0.3671099	18.6138
0.3924405	18.8206
0.4195189	18.9882
0.4484657	19.1122
0.4794098	19.1884
0.5124891	19.2116
0.5478508	19.1744
0.5856525	19.0663
0.6260625	18.8708
0.6692609	18.5608
0.7154399	18.0877
0.7648052	17.3572
0.8175768	16.1368
0.8739896	13.6848
0.921	11.866385573318727
0.922	11.473929173570635
0.923	11.079729315690667
0.924	10.649773605661299
0.925	10.165190010813863
0.926	9.612714711024488
0.927	8.974097587410565
0.928	8.240587303685889
0.929	7.351033464827797
0.93	6.23879343731226
0.931	4.7618834815643645
0.932	2.4889090067523014
0.933	-0.6590846129836194
0.934	2.336838991956931
0.935	6.597599976711965
0.936	7.649395299316335
0.937	7.344840988027869
0.9380000000000001	8.697292688446815
0.9390000000000001	9.663110744226739
0.9400000000000001	9.648414886544995
0.9410000000000001	9.792070832518792
0.9420000000000001	10.662236880500803
0.9430000000000001	11.223014646305277
0.9440000000000001	11.536936540075395
0.9450000000000001	11.541171120747908
0.9460000000000001	11.525115283386828
0.9470000000000001	11.378749279177814
0.9480000000000001	10.98781909222938
0.9490000000000001	10.399038371299643
0.9500000000000001	9.678110418276752
0.9510000000000001	8.81094224306674
0.9520000000000001	7.910007081659572
0.9530000000000001	7.395313707730018
0.9540000000000001	9.376925694411526
0.9550000000000001	11.074549346001074
0.9560000000000001	11.472746481839692
0.9570000000000001	11.601701533931042
0.9580000000000001	11.914933548942031
0.9590000000000001	11.981122508200997
0.9600000000000001	12.144694681343449
0.9610000000000001	12.678217126411724
0.9620000000000001	13.434106305219524
0.9630000000000001	14.09293970401038
0.9640000000000001	14.62888068198762
0.9650000000000001	15.08033149759384
0.9660000000000001	15.519125205615563
0.9670000000000001	15.899187568252472
0.9680000000000001	16.131162018067517
0.9690000000000001	16.290752975270557
0.9987612	16.533
1.067676	19.8679
1.074178	19.967
1.090619	19.7917
1.095004	19.1176
1.10158	20.0415
1.118022	21.1255
1.141345	22.025
1.220098	24.0494
1.304285	25.395
1.394281	26.3665
1.490486	27.0949
1.593329	27.6981
1.703269	28.1525
1.820795	28.467
1.94643	28.6884
2.080733	28.8419
2.224304	28.9864
2.377781	29.0462
2.541848	29.069
2.717235	29.0677
2.904724	29.0575
3.10515	29.0457
3.319406	28.9922
3.548445	28.9262
3.793288	28.8535
4.055024	28.7704
4.334821	28.6782
4.633924	28.5808
4.953664	28.479
5.295467	28.3686
5.660855	28.2491
6.051453	28.1175
6.469004	27.9683
6.915365	27.7902
7.392525	27.561
7.902609	27.227
8.44789	26.5993
8.799322	25.5649
8.934005	24.1493
8.969921	22.4326
9.030794	24.3489
9.158478	25.7726
9.653919	27.312
10.32004	28.0727
11.03212	28.5046
11.79334	28.7985
12.60708	29.0017
13.47697	29.1413
14.40688	29.2373
15.40095	29.3017
16.46362	29.3434
17.59961	29.3688
18.81398	29.4189
20.11215	29.4195
21.49988	29.4125
22.98338	29.4006
24.56923	29.3855
26.2645	29.3684
28.07676	29.3516
30.01405	29.3316
32.08502	29.3106
34.29889	29.2896
36.66551	29.2692
39.19543	29.2497
41.89992	29.2308
44.79101	29.2123
47.88159	29.1946
51.18542	29.1779
54.71721	29.1623
58.4927	29.1478
62.5287	29.1344
66.84318	29.122
71.45536	29.1106
76.38578	29.1001
81.6564	29.0907
87.29069	29.0821
93.31374	29.0741
99.75239	29.0668
106.6353	29.0601
113.9931	29.0541
121.8587	29.0486
130.2669	29.0436
139.2553	29.0391
148.864	29.035
159.1356	29.0313
170.1159	29.028
181.8539	29.0251
194.4018	29.0224
207.8156	29.02
222.1548	29.0179
237.4835	29.0159
253.8699	29.0142
271.3869	29.0127
290.1126	29.0113
310.1304	29.0101
331.5294	29.009
354.4049	29.008
378.8588	29.0071
405.0001	29.0063
432.9451	29.0056
