8.800000000000000000e+02 1.331073760488888169e+01
8.801001001001001214e+02 1.330119219727497892e+01
8.802002002002002428e+02 1.329557961656715470e+01
8.803003003003002505e+02 1.329384245416428989e+01
8.804004004004003718e+02 1.329027178261492281e+01
8.805005005005004932e+02 1.328599423859772344e+01
8.806006006006006146e+02 1.328139125604779380e+01
8.807007007007007360e+02 1.327660659466508974e+01
8.808008008008008574e+02 1.327169973952163851e+01
8.809009009009008651e+02 1.326670441104796438e+01
8.810010010010009864e+02 1.326164140573961348e+01
8.811011011011011078e+02 1.325652425571377258e+01
8.812012012012012292e+02 1.325136082928027115e+01
8.813013013013013506e+02 1.324616000684527073e+01
8.814014014014013583e+02 1.324092654381576928e+01
8.815015015015014797e+02 1.323566405560769432e+01
8.816016016016016010e+02 1.323037532970722907e+01
8.817017017017017224e+02 1.322506252348959066e+01
8.818018018018018438e+02 1.321972627155941638e+01
8.819019019019018515e+02 1.321436841293206221e+01
8.820020020020019729e+02 1.320899300003386045e+01
8.821021021021020942e+02 1.320360094903407600e+01
8.822022022022022156e+02 1.319819024465269131e+01
8.823023023023023370e+02 1.319276209099906616e+01
8.824024024024024584e+02 1.318731657971126658e+01
8.825025025025024661e+02 1.318185479017573414e+01
8.826026026026025875e+02 1.317637727491619515e+01
8.827027027027027088e+02 1.317088437241115351e+01
8.828028028028028302e+02 1.316537636665069400e+01
8.829029029029029516e+02 1.315985349635406720e+01
8.830030030030029593e+02 1.315431546685996445e+01
8.831031031031030807e+02 1.314876275664652994e+01
8.832032032032032021e+02 1.314319571633357953e+01
8.833033033033033234e+02 1.313761446295099589e+01
8.834034034034034448e+02 1.313201909440515358e+01
8.835035035035034525e+02 1.312640969104653621e+01
8.836036036036035739e+02 1.312078592036816360e+01
8.837037037037036953e+02 1.311514796347364786e+01
8.838038038038038167e+02 1.310949614109945216e+01
8.839039039039039380e+02 1.310383048223171265e+01
8.840040040040040594e+02 1.309815100732959969e+01
8.841041041041040671e+02 1.309245772837153332e+01
8.842042042042041885e+02 1.308675033349246419e+01
8.843043043043043099e+02 1.308102878723775042e+01
8.844044044044044313e+02 1.307529343869968308e+01
8.845045045045045526e+02 1.306954427397550056e+01
8.846046046046045603e+02 1.306378127616298279e+01
8.847047047047046817e+02 1.305800442271751827e+01
8.848048048048048031e+02 1.305221344557155838e+01
8.849049049049049245e+02 1.304640812023031948e+01
8.850050050050050459e+02 1.304058885218663555e+01
8.851051051051050536e+02 1.303475560431584590e+01
8.852052052052051749e+02 1.302890833734190146e+01
8.853053053053052963e+02 1.302304700914597646e+01
8.854054054054054177e+02 1.301717141050203530e+01
8.855055055055055391e+02 1.301128113446079659e+01
8.856056056056056605e+02 1.300537665899811302e+01
8.857057057057056682e+02 1.299945793268526018e+01
8.858058058058057895e+02 1.299352490299110663e+01
8.859059059059059109e+02 1.298757751555454654e+01
8.860060060060060323e+02 1.298161562770652999e+01
8.861061061061061537e+02 1.297563864836287983e+01
8.862062062062061614e+02 1.296964713935330771e+01
8.863063063063062827e+02 1.296364103963419723e+01
8.864064064064064041e+02 1.295762028764861284e+01
8.865065065065065255e+02 1.295158482061083660e+01
8.866066066066066469e+02 1.294553456940873559e+01
8.867067067067066546e+02 1.293946875244054695e+01
8.868068068068067760e+02 1.293338802435976298e+01
8.869069069069068973e+02 1.292729231702633719e+01
8.870070070070070187e+02 1.292118156211502544e+01
8.871071071071071401e+02 1.291505569035614087e+01
8.872072072072072615e+02 1.290891463078112089e+01
8.873073073073072692e+02 1.290275764919862489e+01
8.874074074074073906e+02 1.289658525279320145e+01
8.875075075075075119e+02 1.289039745103430512e+01
8.876076076076076333e+02 1.288419416995175482e+01
8.877077077077077547e+02 1.287797533490121893e+01
8.878078078078077624e+02 1.287174086973023002e+01
8.879079079079078838e+02 1.286549010522442593e+01
8.880080080080080052e+02 1.285922338032141887e+01
8.881081081081081265e+02 1.285294079230396136e+01
8.882082082082082479e+02 1.284664226216221472e+01
8.883083083083082556e+02 1.284032771049500354e+01
8.884084084084083770e+02 1.283399705653459755e+01
8.885085085085084984e+02 1.282764970074459043e+01
8.886086086086086198e+02 1.282128580439142418e+01
8.887087087087087411e+02 1.281490555847685187e+01
8.888088088088088625e+02 1.280850887945057259e+01
