4.606000E-03  8.03768E-01
4.676500E-03  3.03582E-01
4.695300E-03  -2.92582E-01
4.723500E-03  3.23173E-01
4.794000E-03  8.61328E-01
1.069000E-02  2.36087E+00
1.142761E-02  2.37363E+00
1.221612E-02  2.37133E+00
1.305903E-02  2.33137E+00
1.320060E-02  2.31282E+00
1.340265E-02  2.25109E+00
1.345653E-02  2.18102E+00
1.353735E-02  2.24636E+00
1.373940E-02  2.30171E+00
1.396010E-02  2.32499E+00
1.492335E-02  2.36971E+00
1.595306E-02  2.40102E+00
1.705382E-02  2.43266E+00
1.823053E-02  2.46722E+00
1.948844E-02  2.50542E+00
2.083314E-02  2.54708E+00
2.227063E-02  2.59154E+00
2.380730E-02  2.63793E+00
2.545001E-02  2.68534E+00
2.720606E-02  2.73282E+00
2.908327E-02  2.77952E+00
3.109002E-02  2.82470E+00
3.323523E-02  2.86772E+00
3.552846E-02  2.90809E+00
3.797993E-02  2.94544E+00
4.060054E-02  2.97932E+00
4.340198E-02  3.00989E+00
4.639671E-02  3.03686E+00
4.959809E-02  3.06015E+00
5.302035E-02  3.07973E+00
5.667876E-02  3.09557E+00
6.058959E-02  3.10748E+00
6.477028E-02  3.11523E+00
6.923942E-02  3.11858E+00
7.401695E-02  3.11726E+00
7.912411E-02  3.11091E+00
8.458368E-02  3.09899E+00
9.041995E-02  3.08080E+00
9.665893E-02  3.05508E+00
1.033284E-01  3.02038E+00
1.104581E-01  2.97471E+00
1.180797E-01  2.91504E+00
1.262272E-01  2.83673E+00
1.349368E-01  2.73225E+00
1.442475E-01  2.58847E+00
1.542005E-01  2.37982E+00
1.648404E-01  2.04643E+00
1.762144E-01  1.38697E+00
1.842400E-01  1.47973E-01
1.870600E-01  -1.46533E+00
1.878120E-01  -3.39747E+00
1.883732E-01  -2.53721E+00
1.889400E-01  -1.39355E+00
1.917600E-01  3.64335E-01
2.013709E-01  2.05708E+00
2.152655E-01  3.05311E+00
2.301188E-01  3.66377E+00
2.459970E-01  4.09461E+00
2.629708E-01  4.41524E+00
2.811158E-01  4.65896E+00
3.005128E-01  4.84566E+00
3.212482E-01  4.98856E+00
3.434143E-01  5.09713E+00
3.671099E-01  5.17848E+00
3.924405E-01  5.23814E+00
4.195189E-01  5.28048E+00
4.484657E-01  5.30900E+00
4.794098E-01  5.32654E+00
5.124891E-01  5.33541E+00
5.478508E-01  5.33746E+00
5.856525E-01  5.33457E+00
6.260625E-01  5.32733E+00
6.692609E-01  5.31709E+00
7.154399E-01  5.30466E+00
7.648052E-01  5.29073E+00
8.175768E-01  5.27579E+00
8.739896E-01  5.26025E+00
9.342948E-01  5.24449E+00
9.987612E-01  5.22885E+00
1.067676E+00  5.21494E+00
1.141345E+00  5.19961E+00
1.220098E+00  5.18432E+00
1.304285E+00  5.16952E+00
1.394281E+00  5.15544E+00
1.490486E+00  5.14217E+00
1.593329E+00  5.12975E+00
1.703269E+00  5.11821E+00
1.820795E+00  5.10752E+00
1.946430E+00  5.09766E+00
